,name,product_category,new_price,old_price,discount,rating,votes
0,NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),Health & Beauty,912.0,1460.0,0.38,4.7,721.0
1,AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Silver.,Home & Office,628.0,263.76,0.42,4.3,43.0
2,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,Health & Beauty,1400.0,1750.0,0.2,4.3,1546.0
3,NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,Health & Beauty,887.0,1560.0,0.43,4.5,2293.0
4,"NIVEA MEN Deep Antibacterial Anti-Perspirant Rollon,48h - 50ml (Pack Of 2)",Health & Beauty,651.0,1040.0,0.37,4.6,680.0
5,Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,Health & Beauty,960.0,1200.0,0.2,4.3,1078.0
6,Garnier Even & Matte  Vitamin C Booster Serum 30ml.,Health & Beauty,1400.0,1750.0,0.2,4.4,3845.0
7,Nunix R5 Hot & Normal Free Standing Water Dispenser - White,Home & Office,4180.0,1755.6,0.42,4.2,101.0
8,"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",Health & Beauty,651.0,1040.0,0.37,4.6,853.0
9,NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),Health & Beauty,800.0,1302.0,0.39,4.7,1162.0
10,Garnier Even & Matte  Vitamin C Booster Serum 15ml,Health & Beauty,850.0,357.0,0.42,4.2,786.0
11,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,Health & Beauty,1036.0,1295.0,0.2,4.4,4808.0
12,Jameson Jameson Irish Whiskey - 1 Litre,Health & Beauty,2699.0,3827.0,0.29,4.6,250.0
13,Garnier Even & Matte Vitamin C Cleansing Foam,Health & Beauty,652.0,815.0,0.2,4.4,2073.0
14,NIVEA Lemongrass & Oil Shower Gel For Women - 250ml (Pack Of 2),Health & Beauty,675.0,1190.0,0.43,4.6,663.0
15,Nunix Free standing Hot and Normal,Home & Office,3685.0,1547.7,0.42,4.8,4.0
16,L'Oreal GLYCOLIC BRIGHT FACE CLEANSER FOAM 100ML,Health & Beauty,680.0,850.0,0.2,4.7,51.0
17,Garnier Bye Acne & Dark Spots Kit.,Health & Beauty,3608.0,4245.0,0.15,4.3,703.0
18,NIVEA Q10 Power Anti-Wrinkle Day Cream 50ml & Night Cream 50ml,Health & Beauty,2182.0,3840.0,0.43,4.6,426.0
19,Garnier Even & Matte Dark Spot Corrector,Health & Beauty,1050.0,441.0,0.42,4.0,2762.0
