,name,new_price,old_price,discount,rating,votes
0,NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),912.0,"KSh 1,460",38%,4.7 out of 5,4.7 out of 5(721)
1,AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Silver.,628.0,,,4.3 out of 5,4.3 out of 5(43)
2,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,1400.0,"KSh 1,750",20%,4.3 out of 5,4.3 out of 5(1546)
3,NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,887.0,"KSh 1,560",43%,4.5 out of 5,4.5 out of 5(2293)
4,"NIVEA MEN Deep Antibacterial Anti-Perspirant Rollon,48h - 50ml (Pack Of 2)",651.0,"KSh 1,040",37%,4.6 out of 5,4.6 out of 5(680)
5,Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,960.0,"KSh 1,200",20%,4.3 out of 5,4.3 out of 5(1078)
6,Garnier Even & Matte  Vitamin C Booster Serum 30ml.,1400.0,"KSh 1,750",20%,4.4 out of 5,4.4 out of 5(3845)
7,Nunix R5 Hot & Normal Free Standing Water Dispenser - White,4180.0,,,4.2 out of 5,4.2 out of 5(101)
8,"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",651.0,"KSh 1,040",37%,4.6 out of 5,4.6 out of 5(853)
9,NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),800.0,"KSh 1,302",39%,4.7 out of 5,4.7 out of 5(1162)
10,Garnier Even & Matte  Vitamin C Booster Serum 15ml,850.0,,,4.2 out of 5,4.2 out of 5(786)
11,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,1036.0,"KSh 1,295",20%,4.4 out of 5,4.4 out of 5(4808)
12,Jameson Jameson Irish Whiskey - 1 Litre,2699.0,"KSh 3,827",29%,4.6 out of 5,4.6 out of 5(250)
13,Garnier Even & Matte Vitamin C Cleansing Foam,652.0,KSh 815,20%,4.4 out of 5,4.4 out of 5(2073)
14,NIVEA Lemongrass & Oil Shower Gel For Women - 250ml (Pack Of 2),675.0,"KSh 1,190",43%,4.6 out of 5,4.6 out of 5(663)
15,Nunix Free standing Hot and Normal,3685.0,,,4.8 out of 5,4.8 out of 5(4)
16,L'Oreal GLYCOLIC BRIGHT FACE CLEANSER FOAM 100ML,680.0,KSh 850,20%,4.7 out of 5,4.7 out of 5(51)
17,Garnier Bye Acne & Dark Spots Kit.,3608.0,"KSh 4,245",15%,4.3 out of 5,4.3 out of 5(703)
18,NIVEA Q10 Power Anti-Wrinkle Day Cream 50ml & Night Cream 50ml,2182.0,"KSh 3,840",43%,4.6 out of 5,4.6 out of 5(426)
19,Garnier Even & Matte Dark Spot Corrector,1050.0,,,4 out of 5,4 out of 5(2762)
20,"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml",3647.0,"KSh 5,610",35%,4.5 out of 5,4.5 out of 5(365)
21,Garnier AHA+BHA Charcoal Serum + Pure Active 3-in-1 Charcoal Mask,2588.0,"KSh 3,045",15%,4.4 out of 5,4.4 out of 5(489)
22,Nunix Nunix 92L Single Door Fridge Energy Efficient BC-92,18369.0,"KSh 18,370",1%,3 out of 5,3 out of 5(2)
23,Master Chef Premium Vegetable Cooking Oil - 5 Litres,1149.0,"KSh 1,650",30%,4.6 out of 5,4.6 out of 5(129)
24,Garnier Vitamin C Booster Serum 30ml Twin Pack,2975.0,"KSh 3,500",15%,4.6 out of 5,4.6 out of 5(498)
25,Maybelline Lasting Fix Setting Spray,1785.0,"KSh 2,100",15%,4.5 out of 5,4.5 out of 5(1564)
26,"Nunix 20L Electric Rotisserie Oven, 1280W",5483.0,,,4.5 out of 5,4.5 out of 5(13)
27,Premier PM-90 Single Door Fridge – 90L,17999.0,"KSh 19,620",8%,3.4 out of 5,3.4 out of 5(5)
28,Garnier Brightening Night Serum With 10% Pure Vitamin C,2495.0,,,4.9 out of 5,4.9 out of 5(13)
29,"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven",23100.0,,,3.8 out of 5,3.8 out of 5(5)
