,name,new_price,old_price,discount,rating,votes
0,NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,899.0,1560.0,0.42,4.5,4.5 out of 5(2218)
1,NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),854.0,1460.0,0.42,4.7,4.7 out of 5(612)
2,NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),1174.0,1302.0,0.1,4.7,4.7 out of 5(1119)
3,"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",728.0,1040.0,0.3,4.6,4.6 out of 5(830)
4,"NIVEA MEN Deep Antibacterial Anti-Perspirant Rollon,48h - 50ml (Pack Of 2)",655.0,1040.0,0.37,4.6,4.6 out of 5(623)
5,"NIVEA Pearl & Beauty Black Pearl Fine Fragrance Anti-Perspirant Roll-On, 48h - 50ml (Pack Of 2)",728.0,1040.0,0.3,4.7,4.7 out of 5(220)
6,"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml",3647.0,5610.0,0.35,4.4,4.4 out of 5(352)
7,NIVEA Perfect & Radiant Even Tone Day Cream SPF 15 For Women-50ml,585.0,780.0,0.25,4.4,4.4 out of 5(560)
8,"TCL 43S5400 S Series, 43"" Full HD Smart TV - Black",33245.0,39999.0,0.17,4.6,4.6 out of 5(44)
9,NIVEA Q10 Power Anti-Wrinkle Day Cream 50ml & Night Cream 50ml,2246.0,3840.0,0.42,4.6,4.6 out of 5(416)
10,Annov 7-Speed Portable Hand Mixer  With Bowl,799.0,1099.0,0.27,4.3,4.3 out of 5(64)
11,NIVEA MEN Deep Body Lotion For Men - 400ml (Pack Of 2),1340.0,,,4.7,4.7 out of 5(462)
12,Annov 2  Slice Bread Toaster - 700W - White,699.0,849.0,0.18,3.3,3.3 out of 5(72)
13,"Vision Plus VP8832DF 32"" HD Frameless Digital LED TV - Black + FREE WALL MOUNT",11599.0,15995.0,0.27,4.0,4 out of 5(361)
14,Annov Dry Iron -  White,789.0,919.0,0.14,4.2,4.2 out of 5(67)
15,Vision Plus VP2110SB - 2.1CH Soundbar With Bluetooth - Black,9599.0,9995.0,0.04,4.4,4.4 out of 5(25)
16,Vision Plus VP6BB Vibe Series Beatbox Party Speaker - Black,8995.0,12995.0,0.31,4.0,4 out of 5(16)
17,Vitron VB-886 - 2in1 Blender - 1.5L - 350W - White,1696.0,2999.0,0.43,4.4,4.4 out of 5(16)
18,Vision Plus VP8843KV - 43″ 4K Frameless V+ OS Smart TV,30999.0,34995.0,0.11,4.2,4.2 out of 5(26)
19,Vision Plus VP8850KV - 50″ 4K Frameless V+ OS Smart TV,39999.0,49995.0,0.2,4.1,4.1 out of 5(15)
20,"Nokia C12 Pro,6.3', 64GB + 4GB (2+2GB) ,8MP,(Dual SIM), 4000mAh,Charcoal",14499.0,15999.0,0.09,4.2,4.2 out of 5(16)
21,Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow,1699.0,2999.0,0.43,4.9,4.9 out of 5(8)
22,Vision Plus VP8855KV - 55″ 4K Frameless V+ OS Smart TV,48399.0,54995.0,0.12,4.9,4.9 out of 5(9)
23,Epson EcoTank L3250 A4 WIRELESS Printer (All-in-One),33999.0,38000.0,0.11,4.6,4.6 out of 5(27)
24,"Vitron HTC6588USWO, 65"" 4K Smart Frameless TV, Wi-Fi/Netflix",63000.0,99999.0,0.37,5.0,5 out of 5(2)
25,Vision Plus Level Up - Bluetooth Speaker - Vibe Series - Black,3295.0,4995.0,0.34,3.6,3.6 out of 5(5)
26,Vision Plus Vibe Pods Bluetooth  Ear Buds Vibe Series - Black,1995.0,2995.0,0.33,4.0,4 out of 5(1)
27,"Samsung Galaxy A54 5G, 6.4"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Awesome Graphite",65999.0,79999.0,0.18,3.7,3.7 out of 5(6)
28,Anker R100 Soundcore True Wireless Earbuds – Black,3800.0,5999.0,0.37,5.0,5 out of 5(5)
29,Vitron VNR216DS 216 Liters Double Door Fridge - Silver Hairline,45199.0,49999.0,0.1,5.0,5 out of 5(1)
30,Vitron BD-566-A Hot And Cold Water Dispenser - White,8480.0,9900.0,0.14,4.0,4 out of 5(1)
31,Sex Toy For Women - 3 In 1 Vibrator Clitoris Nipple Stimulator,3599.0,3999.0,0.1,,
32,Vitron VNR269DS 269 Liters Double Door Fridge - Silver Hairline,54076.0,65999.0,0.18,5.0,5 out of 5(1)
33,2IN1 Wired Keyboard And Mouse Set Optical Mouse,999.0,1399.0,0.29,4.4,4.4 out of 5(10)
34,Vitron BD-555 Hot And Cold Water Dispenser - White,9050.0,10400.0,0.13,4.0,4 out of 5(1)
35,"Amtec 55L12 - 55"" Frameless 4K UHD  Smart Android TV, 1.5GB RAM + 8GB ROM - Black Bluetooth",39199.0,47000.0,0.17,3.3,3.3 out of 5(3)
36,Led Down Light All In One Solar Street Light 200W With Panel,7899.0,12000.0,0.34,5.0,5 out of 5(1)
37,Anker 24Watt 2-Port USB Charger Adapter – Black,2899.0,3999.0,0.28,,
38,Nexus NX IR-DS Electric Dry And Spray Iron Box - Blue,880.0,917.0,0.04,5.0,5 out of 5(2)
39,Led Down Light 100W Solar Flood Light Dusk To Dawn + Solar Panel.,6320.0,9000.0,0.3,,
40,Led Down Light Generic 150W Solar Flood Light,9500.0,,,,
41,"Amtec 40"" Inch Full HD SMART LED TV Netflix Youtube bluetooth",18950.0,25000.0,0.24,3.9,3.9 out of 5(16)
42,Roch RGC-203 Gas Burners Stove - Silver,1799.0,1899.0,0.05,4.5,4.5 out of 5(11)
43,Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox,26799.0,27599.0,0.03,4.3,4.3 out of 5(3)
44,"Nexus NX IR-DST Electric Dry, Steam Iron Box, 1300W - Green",999.0,1025.0,0.03,5.0,5 out of 5(2)
45,"Vitron Pack of 5 43"" Smart Frameless Android LED TV",106499.0,,,,
46,Garnier Vitamin C Booster Serum 30ml Twin Pack,2625.0,3500.0,0.25,4.6,4.6 out of 5(443)
47,Fashion 6Pcs Soft Cotton Checked Men's Boxers – Multicolor,618.0,688.0,0.1,3.7,3.7 out of 5(1391)
48,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,1400.0,1750.0,0.2,4.3,4.3 out of 5(1430)
49,Jameson Jameson Irish Whiskey - 1 Litre,2599.0,3827.0,0.32,4.6,4.6 out of 5(242)
50,Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,1020.0,1200.0,0.15,4.4,4.4 out of 5(967)
51,Garnier Even & Matte  Vitamin C Booster Serum 15ml,850.0,,,4.2,4.2 out of 5(723)
52,AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Black,729.0,1399.0,0.48,4.1,4.1 out of 5(1623)
53,"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black",21945.0,28599.0,0.23,4.1,4.1 out of 5(307)
54,Garnier Even & Matte  Vitamin C Booster Serum 30ml.,1400.0,1750.0,0.2,4.4,4.4 out of 5(3745)
55,AILYONS HD-199A Electric Dry Iron Box Silver & Black,929.0,1399.0,0.34,4.0,4 out of 5(602)
56,Garnier Even & Matte Dark Spot Corrector,1840.0,2300.0,0.2,4.0,4 out of 5(2720)
57,Jikokoa Xtra - Black,2999.0,4000.0,0.25,4.5,4.5 out of 5(475)
58,Garnier Even & Matte Vitamin C Cleansing Foam,693.0,815.0,0.15,4.4,4.4 out of 5(2013)
59,AILYONS HD-198A Electric Dry Iron Box White & Blue,799.0,1299.0,0.38,4.0,4 out of 5(894)
60,Fashion 4Pairs Finest Cotton Freesize Unisex Plain Invisible Socks,227.0,345.0,0.34,4.0,4 out of 5(2218)
61,Maybelline Lasting Fix Setting Spray,1575.0,2100.0,0.25,4.5,4.5 out of 5(1527)
62,AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White,809.0,1399.0,0.42,4.2,4.2 out of 5(675)
63,Hikers 32'' Digital Frameless HD LED TV-Black,12299.0,18999.0,0.35,4.2,4.2 out of 5(208)
64,"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W",4999.0,7599.0,0.34,4.2,4.2 out of 5(636)
65,AILYONS FK-0308 Stainless Steel 2.2L Electric Kettle,1059.0,1599.0,0.34,4.2,4.2 out of 5(385)
66,Nunix R5 Hot & Normal Free Standing Water Dispenser - White,3999.0,4180.0,0.04,4.1,4.1 out of 5(77)
67,Garnier Skin Active Hydrabomb Chamomile Tissue Face Mask,350.0,,,4.6,4.6 out of 5(981)
68,"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz",1900.0,,,4.7,4.7 out of 5(447)
69,Garnier Even & Matte  Vitamin C Micellar Cleansing Water - 400ml,1275.0,1700.0,0.25,4.5,4.5 out of 5(1067)
70,Jameson Jameson Irish Whiskey - 750 Ml,1999.0,2871.0,0.3,4.7,4.7 out of 5(126)
71,Garnier Micellar Cleansing Jelly Water With Charcoal,895.0,,,4.6,4.6 out of 5(133)
72,"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Ink Black.",12799.0,14999.0,0.15,4.4,4.4 out of 5(217)
73,Fast Charging 10000mAh Power Charging Bank Black,859.0,1369.0,0.37,3.9,3.9 out of 5(132)
74,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,1101.0,1295.0,0.15,4.4,4.4 out of 5(4713)
75,Maybelline Volume Express Colossal 100% Black Mascara,875.0,1250.0,0.3,4.4,4.4 out of 5(1217)
76,Garnier Charcoal Serum With AHA+BHA 30ml Twin Pack,2625.0,3500.0,0.25,4.5,4.5 out of 5(228)
77,Garnier Protection 6 In 1 Cotton Fresh Womens Roll-on - 50ml,298.0,350.0,0.15,4.5,4.5 out of 5(446)
78,Garnier Mineral Men Extreme Cool Roll-on - 50ml,350.0,,,4.5,4.5 out of 5(50)
79,Garnier AHA+BHA Charcoal Serum + Pure Active 3-in-1 Charcoal Mask,2284.0,3045.0,0.25,4.4,4.4 out of 5(444)
80,Fresh Fri Fresh Fri Triple Refined Vegetable Cooking Oil - 5 Litres,1199.0,1850.0,0.35,4.6,4.6 out of 5(103)
81,Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,21599.0,31354.0,0.31,4.3,4.3 out of 5(90)
82,Fashion 6Pcs Soft Cotton Brief Men's Boxers – Waist 29-35inc,789.0,899.0,0.12,3.8,3.8 out of 5(459)
83,Stereo F9 Bluetooth Earphone  Power Headset,630.0,1014.0,0.38,3.9,3.9 out of 5(1105)
84,Fashion 4pcs Ladies Handbags Women Shoulder Tote Bags Set PU Leather-Black,969.0,1670.0,0.42,3.6,3.6 out of 5(1429)
85,AILYONS TYB-205 Blender 2In1 With GrinderMachine 1.5LBlack,1799.0,2599.0,0.31,4.3,4.3 out of 5(219)
86,Garnier Protection 5 Mens Roll-on - 50ml,298.0,350.0,0.15,4.3,4.3 out of 5(71)
87,Fashion 6-Pack Men's Cotton Woven Boxers - Assorted,1500.0,,,3.9,3.9 out of 5(1495)
88,Qasil Naturals Qasil Powder Organic & Multi-purpose Skincare,569.0,900.0,0.37,4.3,4.3 out of 5(354)
89,Maybelline Fit Me Mattifying Primer Matte And Poreless,1120.0,1400.0,0.2,4.6,4.6 out of 5(398)
90,Garnier Even & Matte Oily Skin Face Moisturizer,893.0,1050.0,0.15,4.0,4 out of 5(1121)
91,Garnier Skin Active Pure Charcoal Black Tissue Face Mask,350.0,,,4.4,4.4 out of 5(1888)
92,Garnier Bye Acne & Dark Spots Kit.,3184.0,4245.0,0.25,4.3,4.3 out of 5(675)
93,AILYONS ELP2404K 2.1CH SubWoofer Home Theatrer Multi Media Speaker System,2999.0,4099.0,0.27,4.0,4 out of 5(89)
94,Qwen Aluminum Alloy Laptop Stand Computer Stand,650.0,1000.0,0.35,4.6,4.6 out of 5(657)
95,Garnier Mineral Women Absolute Dry Roll-on - 50ml,350.0,,,4.6,4.6 out of 5(59)
96,Fashion Slipon Shoes Loafers Shoes Canvas Shoes Casual Shoes Mens Sneaker Black,759.0,1500.0,0.49,3.7,3.7 out of 5(277)
97,Garnier Skin Active Hydrabomb Pomegranate Tissue Face Mask,350.0,,,4.6,4.6 out of 5(1503)
98,Fashion Ladies Sneaker Shoes Causal Shoes Buy A Size Larger Than Usual White,1050.0,1500.0,0.3,4.2,4.2 out of 5(283)
99,Waanzilish Mens Sneakers Shoes Outdoor Hiking Shoes Non-slip Sports Shoes Breathable Blue,1100.0,1500.0,0.27,4.2,4.2 out of 5(322)
100,Fashion Men's Shoes Fashion Sneakers Casual Outdoor Easywear Trendy Shoes Running Sport Sneakers,1099.0,1371.0,0.43,4.0,4 out of 5(165)
101,Fashion 2024 Mens Casual High-Top Shoes Running Sneakers - Beige,1860.0,2695.0,0.48,4.4,4.4 out of 5(171)
102,Wireless Bluetooth In-Ear Earphone Stereo Headset,570.0,1000.0,0.43,3.6,3.6 out of 5(153)
103,ARHANORY Phone Tripod Stand Mobile Phone Holder Mount Ring Light Set Selfie Stick-Black,499.0,920.0,0.46,4.1,4.1 out of 5(482)
104,Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,969.0,1638.0,0.41,3.7,3.7 out of 5(2011)
105,Menengai Menengai Cream Bar Soap - 800g,169.0,250.0,0.32,4.6,4.6 out of 5(348)
106,Jogoo Jogoo Maize Meal - 2Kg,152.0,180.0,0.16,4.4,4.4 out of 5(731)
107,Fashion Sneakers Women Shoes Women's Shoes Ladies,599.0,1148.0,0.48,3.7,3.7 out of 5(263)
108,HOMMY 3 Column Portable Wardrobe-Brown,2599.0,4500.0,0.42,3.9,3.9 out of 5(544)
109,Dark And Lovely Waterless Cleanser - 250ml,595.0,,,4.5,4.5 out of 5(491)
110,"Vitron HTC3200S,32""Inch Frameless Smart Android TV NetflixYoutube+FREE TVGuard+Bracket",15999.0,20000.0,0.2,4.3,4.3 out of 5(841)
111,AILYONS FK-0318 Stainless Steel 3.5L Electric Kettle-Ultra Plus Kettle.,1599.0,1999.0,0.2,4.5,4.5 out of 5(99)
112,Amaze Fridge/Freezer Guard-UnderVoltage&Surge Protection,599.0,1000.0,0.4,4.3,4.3 out of 5(573)
113,"Power King Extension Cable With 6 AC Power Outlets, 13A, And 2 M Long Cable",490.0,800.0,0.39,4.1,4.1 out of 5(449)
114,Fashion 16 Inch Laptop Backpack Bags With USB Waterproof,949.0,1553.0,0.39,3.4,3.4 out of 5(1129)
115,Amaze TV Guard/DVD Guard - 13A.,599.0,1000.0,0.4,4.3,4.3 out of 5(463)
116,Garnier Mineral Women Even Extra Roll-on - 50ml,298.0,350.0,0.15,4.3,4.3 out of 5(56)
117,Garnier Even & Matte Normal To Oily Skin Face Moisturizer – 40ml,893.0,1050.0,0.15,3.8,3.8 out of 5(1555)
118,Fashion Shoes For Women Sneakers Ladies Shoes Sneakers,599.0,940.0,0.36,3.9,3.9 out of 5(170)
119,Qwen 64GB Flash Disks USB Flash Drive High Speed,659.0,1000.0,0.34,4.1,4.1 out of 5(216)
120,Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,680.0,1310.0,0.48,4.0,4 out of 5(496)
121,Dr. Rashel Vitamin C Face Serum -50ml.,445.0,599.0,0.26,4.5,4.5 out of 5(135)
