,name,new_price,old_price,discount,rating,votes
0,NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),854.0,1460.0,0.42,4.7,636.0
1,"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black",21506.0,28599.0,0.25,4.2,335.0
2,NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,899.0,1560.0,0.42,4.5,2238.0
3,AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Black,693.0,1399.0,0.5,4.1,1661.0
4,Nunix R5 Hot & Normal Free Standing Water Dispenser - White,4180.0,,,4.1,84.0
5,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,1400.0,1750.0,0.2,4.3,1455.0
6,"Tecno Spark 10 , 6.6"" FHD,128GB ROM+8GB RAM, 5000mAh,Blue",18999.0,24999.0,0.24,3.8,17.0
7,AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Silver.,628.0,,,4.7,6.0
8,AILYONS ELP2404K 2.1CH SubWoofer Home Theatrer Multi Media Speaker System,2906.0,4099.0,0.29,3.9,98.0
9,"Nokia C32, 64GB + 4GB (Upto 7GB RAM) 5000MAh, Android 13, Black-Charcoal",17599.0,19999.0,0.12,4.3,95.0
10,Garnier Even & Matte  Vitamin C Booster Serum 15ml,850.0,,,4.2,747.0
11,AILYONS HD-198A Electric Dry Iron Box White & Blue,839.0,1299.0,0.35,4.0,926.0
12,Hikers 32'' Digital Frameless HD LED TV-Black,11590.0,17357.0,0.33,4.2,215.0
13,Rashnik RN-999 2 In 1 Blender & Grinder –1.5L – 400W - Black,1624.0,,,4.3,77.0
14,"Vision Plus VP8832DF 32"" HD Frameless Digital LED TV - Black + FREE WALL MOUNT.",11550.0,15995.0,0.28,4.0,367.0
15,Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,960.0,1200.0,0.2,4.4,985.0
16,Stereo F9 Bluetooth Earphone  Power Headset,612.0,1014.0,0.4,3.9,1113.0
17,"NIVEA MEN Deep Antibacterial Anti-Perspirant Rollon,48h - 50ml (Pack Of 2)",655.0,1040.0,0.37,4.6,631.0
18,AILYONS TYB-205 Blender 2In1 With GrinderMachine 1.5LBlack,1899.0,2599.0,0.27,4.3,239.0
19,AILYONS HD-199A Electric Dry Iron Box Silver & Black,969.0,1399.0,0.31,4.0,622.0
20,Garnier Even & Matte  Vitamin C Booster Serum 30ml.,1400.0,1750.0,0.2,4.4,3766.0
21,Menengai Menengai Cream Bar Soap – 500g,73.0,139.0,0.47,3.9,9.0
22,Fashion 2024 Mens Casual High-Top Shoes Running Sneakers - Beige,1860.0,3152.0,0.41,4.4,178.0
23,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,1036.0,1295.0,0.2,4.4,4738.0
24,"Skyworth 43E3A, 43"" Full HD Frameless Smart Android TV – Black",27159.0,44999.0,0.4,4.6,404.0
25,Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox,26999.0,36000.0,0.25,4.7,6.0
26,VON Von VALS-75BWY Twin Tub Washing Machine - 7.5Kg,22799.0,29995.0,0.24,4.5,115.0
27,Fashion Men's Shoes Fashion Sneakers Casual Outdoor Easywear Trendy Shoes Running Sport Sneakers,1099.0,1371.0,0.2,4.0,171.0
28,AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White,788.0,1399.0,0.44,4.2,703.0
29,"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Ink Black.",12999.0,14999.0,0.13,4.4,220.0
30,Lyons FY-1731 Blender 2 In 1 With Grinder Machines  1.5L,1799.0,2599.0,0.31,4.1,485.0
31,AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet,3499.0,4999.0,0.3,4.2,161.0
32,Fashion 6Pcs Pure Cotton Checked Men's Boxers – Multicolor,799.0,1250.0,0.36,3.9,1762.0
33,"Vitron 4068, 40"" Smart Android TV, Netflix, Youtube - Black",18836.0,20449.0,0.08,4.3,156.0
34,Wireless Bluetooth In-Ear Earphone Stereo Headset,570.0,1000.0,0.43,3.6,154.0
35,"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner",2469.0,3299.0,0.25,4.3,268.0
36,Fashion Slipon Shoes Loafers Shoes Canvas Shoes Casual Shoes Mens Sneaker Black,759.0,1500.0,0.49,3.7,285.0
37,Fashion Couple Canvas Low Top Lace-up Shoes Classic Casual Sneakers Black,999.0,1500.0,0.33,4.7,53.0
38,Garnier Even & Matte Vitamin C Cleansing Foam,652.0,815.0,0.2,4.4,2023.0
39,Ace Elec ACEELEC F9 Wireless Fingerprint Touch Bluetooth Headset,562.0,990.0,0.43,3.9,61.0
40,Nunix SC-002 Table Top Double Burner Gas Stove Cooker,2084.0,,,4.1,77.0
41,Hisense WSBE701 7kg Twin Tub Washing Machine - White,20699.0,32000.0,0.35,4.6,123.0
42,Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,969.0,1638.0,0.41,3.7,2016.0
43,Jikokoa Xtra - Black,3141.0,4000.0,0.21,4.5,487.0
44,"Multicolor Duvet Blanket, Sheet, 2 Pillow Cases",1749.0,2900.0,0.46,3.9,248.0
45,"Skyworth 50G3A, 50&Prime; 4K UHD Frameless Smart Android TV &ndash; Black",42679.0,55999.0,0.24,4.4,21.0
