,name,product_category,new_price,old_price,discount,rating,votes
0,Floral Pattern Needlework Aida 14CT Printed Fabric Kit Home,        Home & Office,878.0,1756.0,0.5,0.0,0.0
1,"OPPO Reno7 4G Case, Slim Smooth Soft Silicone Shockproof Anti-Figerprint Case Cover For OPPO Reno7 4G", Phones & Tablets,839.0,1428.0,0.41,0.0,0.0
2,Martell Martell XO - 700ml,Alcohol,29376.0,31758.0,0.08,0.0,0.0
3,Hot-21 Coloured Watercolour Art Paint Set With,Art Supplies,3692.0,6153.0,0.4,0.0,0.0
4,For-Subaru Legacy Outback 2004-2006 Refit Car Android Radio Navigation DVD Mounting Dashboard Trim Fascia Frame,Automobile,2935.0,5341.0,0.45,4.5,2.0
5,5Pcs Non Scratched Plastic Black Felt Edge Squeegee Car Boat Motorcycle Vinyl Car Film Scraper,Automobile,794.0,1588.0,0.5,4.0,1.0
6,12V 24V Car Auto Boat Accessory LED Dual USB Charger - Outlet white,Automobile,690.0,1380.0,0.5,5.0,1.0
7,12V 750GPH Shower Sump Pump System Auto Bilge/Drain Box For Boat,Automotive,9690.0,19370.0,0.5,0.0,0.0
8,Nice & Lovely Baby Range Value Pack,Baby Products,2600.0,1092.0,0.42,5.0,2.0
9,Dove Baby Rich Moisture Shampoo 200ml,Baby Products,800.0,336.0,0.42,4.0,1.0
10,"915 Generation 6Pcs Silicone Baby Feeding Set, Toddler Utensils, with",Baby Products,3435.0,6355.0,0.46,0.0,0.0
11,Jumia Books The 8th Habit; From Effectiveness To Greatness,Books,1920.0,2450.0,0.22,0.0,0.0
12,Jumia Books The 10 X Rule,Books,2320.0,3850.0,0.4,0.0,0.0
13,M.2 NVMe SSD To PCI-E X16 Converter Card NGFF M-Key M.2 PCIe PCI-Express X4/X8/X16 HDD Hard Drive Solid State Disk Adapter Card,Computing,528.0,1056.0,0.5,0.0,0.0
14,"for Raspberry Pi 4 Case with Ice Tower Cooler CPU Fan,with Fan Heat Sink Fan Glare RGB Fan Heat Pipe Tower",Computing,3438.0,1443.96,0.42,0.0,0.0
15,1PCS 009S Plus Riser Card VER009S PCIE PCI-E PCI Express X16 GPU 6in Adapter Card 1X 16X Extender USB 3.0 Cable,Computing,1173.0,2250.0,0.48,0.0,0.0
16,Samsung Flash Disk 64GB + Free OTG Cable,Electronics,1300.0,546.0,0.42,4.1,72.0
17,Samsung 64 GB Memory Card EVO Plus Micro SD,Electronics,925.0,1500.0,0.38,4.0,35.0
18,Samsung 64 GB Memory Card EVO Plus Micro SD,Electronics,925.0,1500.0,0.38,4.0,35.0
19,Fashion 5PCS Glossy Rubber Band Scrunchy,Fashion,315.0,132.29999999999998,0.42,4.3,20.0
20,Fashion Women Top Handle  Handbag Fashion Pur Leather Simple,Fashion,1676.0,1679.0,0.01,4.2,10.0
21,300pcs Rubberband Hairband Ties Plaits-black,Fashion,159.0,199.0,0.2,3.9,9.0
22,Round Decker Mosquito Net - Free Size - Purple,Garden & Outdoors,1399.0,1999.0,0.3,3.7,18.0
23,TNTORCH NEW SOLAR LED Flood Light 400W,Garden & Outdoors,5995.0,9000.0,0.33,3.5,2.0
24,Outdoor/Indoor Foldable Portable Clothes Drying Rack,Garden & Outdoors,5000.0,2100.0,0.42,1.0,1.0
25,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,Health & Beauty,1036.0,1295.0,0.2,4.4,4808.0
26,Garnier Even & Matte  Vitamin C Booster Serum 30ml.,Health & Beauty,1400.0,1750.0,0.2,4.4,3845.0
27,Garnier Even & Matte Dark Spot Corrector,Health & Beauty,1050.0,441.0,0.42,4.0,2762.0
28,Master Chef Premium Vegetable Cooking Oil - 5 Litres,Home & Office,1149.0,1650.0,0.3,4.6,129.0
29,Nunix R5 Hot & Normal Free Standing Water Dispenser - White,Home & Office,4180.0,1755.6,0.42,4.2,101.0
